"city_name";"mundi_code";"sc_code";"neighborhood";"district";"renta_neta_media_por_persona";"renta_neta_media_por_hogar";"media_de_la_renta_por_unidad_de_consumo";"mediana_de_la_renta_por_unidad_de_consumo";"renta_bruta_media_por_persona";"renta_bruta_media_por_hogar";"edad_media_de_la_poblacion";"porcentaje_de_poblacion_menor_de_18_anos";"porcentaje_de_poblacion_de_65_y_mas_anos";"tamano_medio_del_hogar";"porcentaje_de_hogares_unipersonales";"poblacion";"porcentaje_de_poblacion_espanola";"fuente_de_ingreso_salario";"fuente_de_ingreso_pensiones";"fuente_de_ingreso_prestaciones_por_desempleo";"fuente_de_ingreso_otras_prestaciones";"fuente_de_ingreso_otros_ingresos";"cluster"
"Barcelona";"801902047";"2047";"la Sagrada Família";"Eixample";16468;40185;23915;20650;20660;50414;45.3;13.3;23.8;2;31.2;1901;77.1;11736;4818;834;619;2654;3
"Barcelona";"801902048";"2048";"la Sagrada Família";"Eixample";17098;42045;24781;20650;21727;53428;43.5;12.3;19.6;2;32.1;1265;71;13417;3998;859;656;2797;3
"Barcelona";"801902049";"2049";"la Sagrada Família";"Eixample";15323;33993;21305;17150;19108;42388;45.3;10.3;23.1;2;40.3;2017;67.1;11002;4166;901;572;2467;3
"Barcelona";"801902050";"2050";"la Sagrada Família";"Eixample";16723;38003;23622;19250;21063;47868;44.3;10.5;19.5;2;37.1;1627;70.4;13233;3578;812;712;2728;3
"Barcelona";"801902051";"2051";"la Sagrada Família";"Eixample";15165;35086;21657;18550;19007;43977;43.9;9.9;20.2;2;38.3;1856;66.2;11100;4135;994;626;2152;3
"Barcelona";"801902052";"2052";"la Sagrada Família";"Eixample";17415;40495;25365;22050;22124;51445;43.4;11.9;18.7;2;35.8;1756;71.3;13494;3920;785;564;3363;3
"Barcelona";"801902053";"2053";"la Sagrada Família";"Eixample";18297;39737;26328;22750;23621;51301;44.2;12.3;19.9;2;40.9;1827;74.5;14446;3904;921;776;3574;3
"Barcelona";"801902054";"2054";"la Sagrada Família";"Eixample";17939;42679;26600;23450;22814;54276;44.2;14.6;22.9;2;33.5;1840;78.4;13409;4763;669;769;3203;3
"Barcelona";"801902055";"2055";"la Dreta de l’Eixample";"Eixample";18270;43044;26772;23450;23545;55472;45.2;11.9;22.4;2;34.2;1778;77.9;13564;4815;706;714;3746;3
"Barcelona";"801902056";"2056";"la Dreta de l’Eixample";"Eixample";18596;41667;27189;24850;23900;53549;42.8;13;17.9;2;40.3;1415;73.6;14692;3921;802;635;3850;3
"Barcelona";"801902057";"2057";"la Dreta de l’Eixample";"Eixample";23038;55309;34015;29050;30532;73301;45.3;16.8;24.5;2;31.7;1247;81.2;16956;5344;595;688;6949;4
"Barcelona";"801902058";"2058";"la Dreta de l’Eixample";"Eixample";21888;48935;32320;28350;29899;66845;47.2;13.5;25.6;2;36.3;1338;83.7;14827;6230;737;737;7368;4
"Barcelona";"801902059";"2059";"la Dreta de l’Eixample";"Eixample";22301;53266;32672;27650;29378;70171;45;13.7;23.4;2;30;1639;78.2;14954;5074;693;811;7847;4
"Barcelona";"801902060";"2060";"la Dreta de l’Eixample";"Eixample";18749;44889;28428;24850;25170;60261;44.4;15;22.9;2;34.8;1675;77.6;14460;5067;624;841;4178;4
"Barcelona";"801902061";"2061";"la Dreta de l’Eixample";"Eixample";17877;40597;25815;22050;23245;52789;42.9;12;18.5;2;36;1329;73.8;13984;3734;852;685;3990;3
"Barcelona";"801902062";"2062";"la Dreta de l’Eixample";"Eixample";21303;49847;31439;26250;28183;65944;42.6;14.4;18.7;2;33.8;1501;75.8;16650;4078;695;533;6227;4
"Barcelona";"801902063";"2063";"la Dreta de l’Eixample";"Eixample";25503;62776;38511;31150;35098;86396;45.7;14.4;24;2;31;1075;77.3;15852;5656;561;589;12440;4
"Barcelona";"801902064";"2064";"la Dreta de l’Eixample";"Eixample";24269;59181;36306;29750;32284;78727;45;14.3;24.5;2;32.5;1296;77.7;16217;5916;540;752;8858;4
"Barcelona";"801902065";"2065";"la Dreta de l’Eixample";"Eixample";20141;47388;29571;24150;26478;62297;42.4;13.9;17.2;2;37.3;1795;74.4;15261;4055;735;735;5693;4
"Barcelona";"801902066";"2066";"la Dreta de l’Eixample";"Eixample";19621;45492;28335;25550;25287;58628;46.6;11.9;26.4;2;33.6;1718;81.3;14015;6300;694;817;3461;3
"Barcelona";"801902067";"2067";"la Dreta de l’Eixample";"Eixample";17033;38949;24697;22050;22433;51299;41.8;12.8;16.1;2;36.8;1630;70.8;14700;3501;821;692;2719;3
"Barcelona";"801902068";"2068";"la Dreta de l’Eixample";"Eixample";17826;41735;25961;24150;22765;53300;44.5;13;21.4;2;34.3;1597;74.8;12627;4725;867;745;3801;3
"Barcelona";"801902069";"2069";"la Dreta de l’Eixample";"Eixample";20962;50122;30949;26950;27516;65794;43.9;15.9;22.3;2;33.5;1331;77.8;14724;5379;713;609;6092;4
"Barcelona";"801902070";"2070";"la Dreta de l’Eixample";"Eixample";21031;49500;31162;25550;28737;67636;44.1;12.1;20.5;2;38.5;1218;73.8;15911;4389;629;789;7020;4
"Barcelona";"801902071";"2071";"la Dreta de l’Eixample";"Eixample";22054;53168;32571;28000;29564;71273;43.8;14.3;19.9;2;32.3;1676;78.9;16731;4731;668;681;6752;4
"Barcelona";"801902072";"2072";"la Dreta de l’Eixample";"Eixample";24790;59328;37124;29750;33394;79919;45.1;13.7;21.8;2;33.4;1179;79.9;17746;4662;686;1055;9245;4
"Barcelona";"801902073";"2073";"la Dreta de l’Eixample";"Eixample";21717;52931;32724;27650;28779;70144;42.5;12.8;16.9;2;36.8;1573;48.7;15347;4397;761;573;7701;3
"Barcelona";"801902074";"2074";"la Dreta de l’Eixample";"Eixample";20999;51701;32139;25550;28270;69601;43;13.4;18.1;2;32.3;1203;66.7;15806;3838;690;624;7312;4
"Barcelona";"801902075";"2075";"la Dreta de l’Eixample";"Eixample";20335;49652;30571;25550;26814;65472;43.2;13.6;19.1;2;33.7;1236;68.8;14384;4396;716;679;6639;4
"Barcelona";"801902076";"2076";"la Dreta de l’Eixample";"Eixample";23127;56840;34520;29750;31350;77053;43.9;14.4;20.5;2;32.4;1589;75.7;16580;4825;758;593;8594;4
"Barcelona";"801902077";"2077";"la Dreta de l’Eixample";"Eixample";20402;48641;30665;24150;27151;64732;41.9;9.9;16.3;2;39.3;1601;61;14566;3801;702;763;7320;3
"Barcelona";"801902078";"2078";"la Dreta de l’Eixample";"Eixample";23187;52294;33991;26250;32833;74051;44.9;12.9;23.6;2;43.8;1250;66.9;16063;5033;684;639;10413;4
